L'année fiscale se termine dans déc.CAD dans Des millions sauf données par action,déc. 19,déc. 18,déc. 17,déc. 16,déc. 15
Total de l'actif,36309,30153,35147,34436,34357
Actifs courants,11310,11637,11327,10204,9855
Trésorerie équivalents de trésorerie et placements à court terme,2398,2407,2344,1555,1082
Trésorerie et équivalents de trésorerie,2341,2313,1798,1314,1018
En espèces,1757,1787,516,553,352
Équivalents de trésorerie,584,526,1282,761,666
Placements à court terme,57,94,546,241,64
Débiteurs,3600,3279,4288,4048,4115
Comptes clients,3600,3279,4288,4048,4115
Comptes clients bruts,—,—,—,—,—
Provision pour comptes clients douteux,—,—,—,—,—
Prêts,—,—,—,—,—
Effets à recevoir,—,—,—,—,—
Intérêts courus à recevoir,—,—,—,—,—
Impôt à recevoir,—,—,—,—,—
Montants courants à recevoir des parties liées,—,—,—,—,—
Autres débiteurs,—,—,—,—,—
Provision pour rajustement des sommes à recevoir,—,—,—,—,—
Stocks,5076,4803,4438,4371,4322
Matières premières,—,—,—,—,—
Travaux en cours,—,—,—,—,—
Produits finis,5109,4840,4477,4400,4407
Autres stocks,—,—,—,—,—
Provision pour rajustement des stocks,-33,-37,-39,-29,-85
Actifs payés d’avance,131,1104,224,190,265
Trésorerie soumise à des restrictions,—,—,—,—,—
Actifs différés courants,—,—,—,—,—
Actifs d’impôt différé courants,—,—,—,—,—
Actifs courants détenus en vue de la vente,—,—,—,—,—
Actifs de couverture courants,—,—,—,—,—
Autres actifs à court terme,—,—,—,—,—
Total des actifs non courants,24999,18516,23820,24232,24502
Immobilisations corporelles nettes,12852,5931,10669,10559,10480
Immobilisations corporelles brutes,21835,14706,20724,19866,19171
Biens immobiliers,—,—,—,—,—
Terrains et améliorations,219,230,1975,1912,1866
Bâtiments et améliorations,1785,3327,8151,7921,7697
Machinerie mobilier et équipement,8207,7635,7090,6634,6297
Autres biens immobiliers,7362,950,936,919,883
Immobilisations en cours,389,404,518,530,576
Locations,3873,2160,2054,1950,1852
Amortissement accumulés,-8983,-8775,-10055,-9307,-8691
Goodwill et autres immobilisations incorporelles,11268,11740,12173,12640,12944
Goodwill,3946,3942,3922,3895,3780
Autres immobilisations incorporelles,7322,7798,8251,8745,9164
Immeubles de placement,—,—,—,—,—
Placements et avances,22,31,75,84,128
Placements en instruments de capitaux propres à long terme,—,—,—,—,—
Investissements dans des filiales comptabilisés au coût,—,—,—,—,—
Investissements dans des sociétés affiliées comptabilisés au coût,—,—,—,—,—
Investissements dans d’autres entreprises comptabilisés selon la méthode de la mise en équivalence,—,—,—,—,—
Investissements dans des coentreprises comptabilisés au coût,—,—,—,—,—
Placement dans des actifs financiers,—,—,—,—,—
Titres détenus à des fins de transaction,—,—,—,—,—
Total des actifs financiers à la juste valeur par le biais du résultat net,—,—,—,—,—
Titres disponibles à la vente,—,—,—,—,—
Titres détenus jusqu’à l’échéance,—,—,—,—,—
Autres placements,—,—,—,—,—
Actifs financiers,—,—,—,—,—
Comptes clients non courants,114,—,—,—,—
Effets à recevoir non courants,19,78,169,233,329
Montants à recevoir des parties liées non courants,—,—,—,—,—
Actifs différés non courants,169,144,134,130,132
Actifs d’impôt différé non courants,169,144,134,130,132
Actifs payés d’avance non courants,—,—,—,—,2
Régime de retraite à prestations définies,229,225,147,192,190
Autres actifs non courants,154,133,177,176,139
Total du passif,24988,17975,22013,21408,21233
