Date fin exercice,9/30/2019,9/30/2018,9/30/2017,9/30/2016,9/30/2015
Total de l'actif,"1,107,390","1,092,220","605,070","560,610","538,710"
Actifs courants,"208,830","191,680","135,630","1,193","117,290"
Trésorerie équivalents de trésorerie et placements à court terme,27340,22690,14890,2750,2150
Trésorerie et équivalents de trésorerie,27340,22690,14890,2750,2150
En espèces,—,—,—,—,—
Équivalents de trésorerie,—,—,—,—,—
Placements à court terme,—,—,—,—,—
Débiteurs,65570,55870,33180,31830,30370
Comptes clients,61120,53810,31370,30640,29060
Comptes clients bruts,—,—,—,—,—
Provision pour comptes clients douteux,—,—,—,—,—
Prêts,—,—,—,—,—
Effets à recevoir,—,—,—,—,—
Intérêts courus à recevoir,—,—,—,—,—
Impôt à recevoir,4450,2060,1810,1190,1310
Montants courants à recevoir des parties liées,—,—,—,—,—
Autres débiteurs,—,—,—,—,—
Provision pour rajustement des sommes à recevoir,—,—,—,—,—
Stocks,"1,126","109,910",85660,82750,82420
Matières premières,—,—,—,—,—
Travaux en cours,—,—,—,—,—
Produits finis,"1,126","109,910",85660,82750,82420
Autres stocks,—,—,—,—,—
Provision pour rajustement des stocks,—,—,—,—,—
Actifs payés d’avance,3320,3210,19,1970,1890
Trésorerie soumise à des restrictions,—,—,—,—,—
Actifs différés courants,—,—,—,—,—
Actifs d’impôt différé courants,—,—,—,—,—
Actifs courants détenus en vue de la vente,—,—,—,—,—
Actifs de couverture courants,—,—,—,—,—
Autres actifs à court terme,—,—,—,—,—
Total des actifs non courants,"898,560","900,540","469,440","441,310","421,420"
Immobilisations corporelles nettes,"265,780","252,340","176,150","159,480","147,320"
Immobilisations corporelles brutes,"4,232","406,250","315,840","296,510","284,980"
Biens immobiliers,—,—,—,—,—
Terrains et améliorations,48040,47370,26180,25080,22970
Bâtiments et améliorations,"133,240","124,450",77320,736,69550
Machinerie mobilier et équipement,"155,740","150,760","1,336","1,275","126,760"
Autres biens immobiliers,—,—,—,—,—
Immobilisations en cours,—,—,—,—,—
Locations,86180,83670,78740,70330,657
Amortissement accumulés,"-157,420","-153,910","-139,690","-137,030","-137,660"
Goodwill et autres immobilisations incorporelles,"619,550","621,660","236,290","234,710","231,070"
Goodwill,"330,650","330,220","197,380","195,540","193,150"
Autres immobilisations incorporelles,"2,889","291,440",38910,39170,37920
Immeubles de placement,—,—,—,—,—
Placements et avances,—,6690,47590,39650,31530
Placements en instruments de capitaux propres à long terme,—,—,—,—,—
Investissements dans des filiales comptabilisés au coût,—,—,—,—,—
Investissements dans des sociétés affiliées comptabilisés au coût,—,—,—,—,—
Investissements dans d’autres entreprises comptabilisés selon la méthode de la mise en équivalence,—,—,—,—,—
Investissements dans des coentreprises comptabilisés au coût,—,—,—,—,—
Placement dans des actifs financiers,—,—,—,—,—
Titres détenus à des fins de transaction,—,—,—,—,—
Total des actifs financiers à la juste valeur par le biais du résultat net,—,—,—,—,—
Titres disponibles à la vente,—,—,—,—,—
Titres détenus jusqu’à l’échéance,—,—,—,—,—
Autres placements,—,—,—,—,—
Actifs financiers,—,—,—,—,—
Comptes clients non courants,—,—,—,—,—
Effets à recevoir non courants,—,—,—,—,—
Montants à recevoir des parties liées non courants,—,—,—,—,—
Actifs différés non courants,280,450,190,940,3070
Actifs d’impôt différé non courants,280,450,190,940,3070
Actifs payés d’avance non courants,—,—,—,—,—
Régime de retraite à prestations définies,2560,5510,3930,750,2590
Autres actifs non courants,6240,9280,3790,3210,3270
Total du passif,"510,530","526,620","312,680","291,290","272,990"
Passifs courants,"187,760","163,470","128,590","106,750","106,380"
Créditeurs et charges à payer,"136,470","152,310","104,490","1,048","104,270"
Créditeurs,"136,470","152,310","104,490","1,048","104,270"
Comptes créditeurs,"133,140","126,830","103,610","101,280",99940
Total de l’impôt exigible,3330,25480,880,3520,4330
Impôt sur le résultat exigible,—,—,—,—,—
Dividendes à verser,—,—,—,—,—
Montants à payer à des parties liées courants,—,—,—,—,—
Autres créditeurs,—,—,—,—,—
Charges à payer courantes,—,—,—,—,—
Intérêt à verser,—,—,—,—,—
Provisions courantes,1090,8,270,260,370
Régimes de retraite et autres régimes d’avantages complémentaires de retraite courants,—,—,—,—,—
Dette et obligation liée aux contrats de location courantes,42860,1340,14,1690,1740
Dette courante,42860,1340,14,1690,1740
Effets payables courants,—,—,—,—,—
Billet de trésorerie,—,—,—,—,—
Ligne de crédit,—,—,—,140,90
Autres emprunts courants,42860,1340,14,1550,1650
Obligation liée aux contrats de location courante,—,—,—,—,—
Passifs différés courants,2230,9020,—,—,—
Passifs d’impôt différé courants,—,—,—,—,—
Produits différés courants,2230,9020,—,—,—
Autres passifs à court terme,5110,—,22430,—,—
Total des passifs non courants,"322,770","363,150","184,090","184,540","166,610"
Provisions à long terme,3020,2230,2,280,430
Dette et obligation liée aux contrats de location à long terme,"223,940","2,640","145,210","1,231","114,510"
Dette à long terme,"2,229","263,040","144,160","1,231","114,510"
Obligation liée aux contrats de location à long terme,1040,960,1050,—,—
Passifs différés non courants,84270,84650,25570,19390,18740
Passifs d’impôt différé non courants,84270,84650,25570,19390,18740
Produits différés non courants,—,—,—,—,—
Fournisseurs et autres créditeurs non courants,—,—,—,—,—
Montants à payer à des parties liées non courants,—,—,—,—,—
Charges à payer non courantes,—,—,—,—,—
Avantages du personnel,113,8130,9270,16070,9790
Régimes de retraite et autres régimes d’avantages complémentaires de retraite non courants,113,8130,9270,16070,9790
Passifs liés aux produits dérivés,—,—,—,—,—
Titres privilégiés hors titres de capitaux propres,—,—,—,—,—
Actions ordinaires soumises à des restrictions,—,—,—,—,—
Passifs non courants détenus en vue de la vente,—,—,—,—,—
Autres passifs non courants,240,4140,3840,257,23140
Total des capitaux propres avant déduction pour participation minoritaire,"596,860","5,656","292,390","269,320","265,720"
Capitaux propres,"595,520","564,280","291,110","268,060","264,340"
Capital-actions,"173,230","172,410",56580,—,—
Actions privilégiées,—,—,—,—,—
Actions ordinaires,"173,230","172,410",56580,—,—
Autre capital-actions,—,—,—,—,—
Surplus d’apport,1920,2030,1980,571,579
Résultat non distribué,"422,830","391,840","234,390","212,540","207,770"
Actions propres,-2460,-2490,-2190,-2050,-1850
Gains ou pertes sans incidence sur le résultat non distribué,—,490,350,470,520
Gain ou perte non réalisé,—,—,—,—,—
Passif minimum pour les régimes de retraite,—,—,—,—,—
Écarts de conversion,—,—,—,—,—
Réserve de réévaluation pour les immobilisations corporelles,—,—,—,—,—
Autres ajustements des capitaux propres,—,—,—,—,—
Autres titres de capitaux propres,—,—,—,—,—
Intérêts minoritaires,1340,1320,1280,1260,1380
Capitalisation totale,"818,420","827,320","435,270","391,160","378,850"
Actions privilégiées,—,—,—,—,—
Actions ordinaires,—,—,—,—,—
Engagements de location - acquisition,1040,960,1050,—,—
Actifs corporels nets,—,—,—,—,—
Fonds de roulement,—,—,—,—,—
Capital investi,—,—,—,—,—
Valeur comptable des immobilisations corporelles,—,—,—,—,—
Total de la dette,—,—,—,—,—
Dette nette,—,—,—,—,—
Actions émises,—,—,—,—,—
Nombre d’actions ordinaires,—,—,—,—,—
Nombre d’actions privilégiées,—,—,—,—,—
Nombre d’actions propres,—,—,—,—,—
