L'année fiscale se termine dans avr.CAD dans Des millions sauf données par action,avr. 20,avr. 19,avr. 18,avr. 17,avr. 16
Total des produits,26588.2,25142,24214.6,23806.2,24618.8
Produits d'exploitation,26588.2,25142,24214.6,23806.2,24618.8
Taxes d’accise,—,—,—,—,—
Coût des produits,19954.9,19058.4,18314.1,18099,18661.2
Profit brut,663330,608360,590050,570720,595760
Charges d’exploitation,566250,558750,568950,549990,542720
Frais de vente et charges générales et administratives,566250,558750,568950,549990,542420
Charges générales et administratives,—,—,—,—,—
Salaires,—,—,—,—,—
Loyer et redevances d’atterrissage,—,—,—,—,—
Assurances et réclamations,—,—,—,—,—
Autres charges générales et administratives,—,—,—,—,—
Frais de vente et de marketing,—,—,—,—,—
Recherche et développement,—,—,—,—,—
Amortissement des immobilisations corporelles et incorporelles,—,—,—,—,—
Amortissement des immobilisations corporelles,—,—,—,—,—
Amortissement,—,—,—,—,—
Amortissements des immobilisations incorporelles,—,—,—,—,—
Épuisement,—,—,—,—,—
Provision pour créances douteuses,—,—,—,—,—
Autres impôts,—,—,—,—,—
Autres charges d’exploitation,—,—,—,—,3
Bénéfices d'exploitation,97080,49610,211,20730,53040
Produits nets ou charges nettes d’intérêt non liés aux activités d’exploitation,-28270,-9530,-11390,-12250,-13820
Produit d’intérêts non liés aux activités d’exploitation,33,890,260,160,140
Charges d’intérêts non liées aux activités d’exploitation,30380,8650,9690,10310,11380
Total des autres charges financières,—,—,—,—,—
Autres produits ou charges,14460,15990,13890,13020,-294810
Profit sur la vente de titres,360,370,340,450,80
Profit provenant des titres de capitaux propres,7180,8790,7430,7750,8610
Amortissement des titres,—,—,—,—,—
Produits ou charges exceptionnels,5170,4890,3730,23,-306670
Autres produits ou charges non liés aux activités d’exploitation,—,—,—,—,—
Résultat avant impôts,83270,56070,236,215,-255590
Provision pour impôts,21990,14430,5620,4250,-44130
Profit provenant des titres de capitaux propres après l’impôt,—,—,—,—,—
Résultat net attribuable aux porteurs d’actions ordinaires,58350,38730,15950,15850,-2131
Bénéfice net,583.5,387.3,159.5,158.5,-2131
Dividende sur actions privilégiées,—,—,—,—,—
Résultat net dilué attribuable aux porteurs d’actions ordinaires,—,—,—,—,—
Bénéfice de base par action,216,142,59,58,—
Bénéfice de base par action attribuable aux activités poursuivies,216,142,59,58,—
Bénéfice de base par action attribuable aux activités abandonnées,—,—,—,—,—
Bénéfice de base par action attribuable aux éléments extraordinaires,—,—,—,—,—
Bénéfice de base par action attribuable au changement de méthode comptable,—,—,—,—,—
Bénéfice de base par action attribuable aux pertes fiscales reportées,—,—,—,—,—
Bénéfice de base par action attribuable aux autres gains ou pertes,—,—,—,—,—
Bénéfice dilué par action,215,142,59,58,—
Bénéfice dilué par action attribuable aux activités poursuivies,215,142,59,58,—
Bénéfice dilué par action attribuable aux activités abandonnées,—,—,—,—,—
Bénéfice dilué par action attribuable aux éléments extraordinaires,—,—,—,—,—
Bénéfice dilué par action attribuable au changement de méthode comptable,—,—,—,—,—
Bénéfice dilué par action attribuable aux pertes fiscales reportées,—,—,—,—,—
Bénéfice dilué par action attribuable aux autres gains ou pertes,—,—,—,—,—
Nombre moyen d’actions de base,27044,27194,27178,27195,—
Nombre moyen d’actions après dilution,27141,27255,27206,27195,—
Dividende par action,48,44,42,41,—
Total des produits d’exploitation déclaré,111180,65230,34650,333,-241850
Bénéfice de base par action normalisé déclaré,—,—,—,—,—
Bénéfice dilué par action normalisé déclaré,—,—,—,—,—
Loyers et charges locatives supplémentaires,—,—,—,—,—
Total des charges,2561740,2464590,2400360,2359890,2408840
Bénéfice net découlant des activités poursuivies et abandonnées,58350,38730,15950,15850,-2131
Bénéfice normalisé,54280,34822,12849,13645,12244
Intérêts débiteurs,30380,8650,9690,10310,11380
BAII,113650,64720,33290,31810,-244210
BAIIA,191710,106440,77210,76230,-196830
Coût des produits après rapprochement,—,—,—,—,—
Amortissement des immobilisations corporelles après rapprochement,—,—,—,—,—
Bénéfice net découlant des activités poursuivies après déduction pour participation minoritaire,—,—,—,—,—
Total des éléments exceptionnels à l’exclusion du goodwill,—,—,—,—,—
Total des éléments exceptionnels,—,—,—,—,—
Bénéfice de base par action normalisé,—,—,—,—,—
Bénéfice dilué par action normalisé,—,—,—,—,—
BAIIA normalisé,—,—,—,—,—
Taux d’impôt pour les calculs,—,—,—,—,—
Effet fiscal des éléments exceptionnels,—,—,—,—,—
