Date fin exercice,9/30/2019,9/30/2018,9/30/2017,9/30/2016,9/30/2015
Total des produits,16 76750,14 38340,13 17530,12 78790,12 22380
Produits d'exploitation,16 76750,14 38340,13 17530,12 78790,12 22380
Taxes d’accise,—,—,—,—,—
Coût des produits,13 43880,11 55650,10 57960,10 27110,9 81350
Profit brut,3 32870,2 82690,2 59570,2 51680,2 41030
Charges d’exploitation,2 26360,2 00650,1 82350,1 76830,1 72950
Frais de vente et charges générales et administratives,1 49560,1 33870,1 23320,1 19630,1 16610
Charges générales et administratives,1 49560,1 33870,1 23320,1 19630,1 16610
Salaires,96640,86290,79180,77560,75650
Loyer et redevances d’atterrissage,52920,47580,44140,42070,40960
Assurances et réclamations,—,—,—,—,—
Autres charges générales et administratives,—,—,—,3370,13540
Frais de vente et de marketing,—,—,—,—,—
Recherche et développement,—,—,—,—,—
Amortissement des immobilisations corporelles et incorporelles,28640,23350,19420,18280,177
Amortissement des immobilisations corporelles,211,18520,16380,15630,15020
Amortissement,7540,4830,3040,2650,2680
Amortissements des immobilisations incorporelles,7540,4830,3040,2650,2680
Épuisement,—,—,—,—,—
Provision pour créances douteuses,—,—,—,—,—
Autres impôts,—,—,—,—,—
Autres charges d’exploitation,48160,43430,39610,38920,38640
Bénéfices d'exploitation,1 06510,82040,77220,74850,68080
Produits nets ou charges nettes d’intérêt non liés aux activités d’exploitation,-10380,-8020,-6390,-6140,-5870
Produit d’intérêts non liés aux activités d’exploitation,780,2880,240,370,220
Charges d’intérêts non liées aux activités d’exploitation,10850,10650,65,6390,5950
Total des autres charges financières,—,—,—,—,—
Autres produits ou charges,790,1 33650,9350,9110,5840
Profit sur la vente de titres,150,24110,—,—,—
Profit provenant des titres de capitaux propres,—,3080,9350,9110,6430
Amortissement des titres,—,—,—,—,—
Produits ou charges exceptionnels,640,1 076,—,—,-590
Autres produits ou charges non liés aux activités d’exploitation,—,—,—,—,—
Résultat avant impôts,96920,2 07670,80180,77820,68050
Provision pour impôts,25480,35820,19340,192,16120
Profit provenant des titres de capitaux propres après l’impôt,—,—,—,—,—
Résultat net attribuable aux porteurs d’actions ordinaires,71160,1 71650,59170,57150,50610
Bénéfice net,71160,1 71650,59170,57150,50610
Dividende sur actions privilégiées,—,—,—,—,—
Résultat net dilué attribuable aux porteurs d’actions ordinaires,—,—,—,—,—
Bénéfice de base par action,279,720,—,—,—
Bénéfice de base par action attribuable aux activités poursuivies,279,720,—,—,—
Bénéfice de base par action attribuable aux activités abandonnées,—,—,—,—,—
Bénéfice de base par action attribuable aux éléments extraordinaires,—,—,—,—,—
Bénéfice de base par action attribuable au changement de méthode comptable,—,—,—,—,—
Bénéfice de base par action attribuable aux pertes fiscales reportées,—,—,—,—,—
Bénéfice de base par action attribuable aux autres gains ou pertes,—,—,—,—,—
Bénéfice dilué par action,278,716,—,—,—
Bénéfice dilué par action attribuable aux activités poursuivies,278,716,—,—,—
Bénéfice dilué par action attribuable aux activités abandonnées,—,—,—,—,—
Bénéfice dilué par action attribuable aux éléments extraordinaires,—,—,—,—,—
Bénéfice dilué par action attribuable au changement de méthode comptable,—,—,—,—,—
Bénéfice dilué par action attribuable aux pertes fiscales reportées,—,—,—,—,—
Bénéfice dilué par action attribuable aux autres gains ou pertes,—,—,—,—,—
Nombre moyen d’actions de base,25490,23830,—,—,—
Nombre moyen d’actions après dilution,25630,23980,—,—,—
Dividende par action,078,070,—,—,—
Total des produits d’exploitation déclaré,—,—,—,—,—
Bénéfice de base par action normalisé déclaré,—,—,—,—,—
Bénéfice dilué par action normalisé déclaré,—,—,—,—,—
Loyers et charges locatives supplémentaires,52920,47580,44140,42070,40960
Total des charges,15 70240,13 563,12 40310,12 03940,11 543
Bénéfice net découlant des activités poursuivies et abandonnées,71160,1 71650,59170,57150,50610
Bénéfice normalisé,70578,62594,59170,57150,51044
Intérêts débiteurs,10850,10650,65,6390,5950
BAII,1 07770,2 18320,86680,84210,740
BAIIA,1 36410,2 41670,1 061,1 02490,917
Coût des produits après rapprochement,—,—,—,—,—
Amortissement des immobilisations corporelles après rapprochement,—,—,—,—,—
Bénéfice net découlant des activités poursuivies après déduction pour participation minoritaire,—,—,—,—,—
Total des éléments exceptionnels à l’exclusion du goodwill,—,—,—,—,—
Total des éléments exceptionnels,—,—,—,—,—
Bénéfice de base par action normalisé,—,—,—,—,—
Bénéfice dilué par action normalisé,—,—,—,—,—
BAIIA normalisé,—,—,—,—,—
Taux d’impôt pour les calculs,—,—,—,—,—
Effet fiscal des éléments exceptionnels,—,—,—,—,—
